kontakt_id,kampagne,rolle,branche,beschaeftigte,webinar_status,anliegen_kategorie,kontakt_erlaubt,followup_gesendet,antwort,gespraech_gebucht,gespraech_durchgefuehrt
C-077,C,Produktmarketing,B2B-Dienstleister,800,nicht teilgenommen,leer,ja,0,0,0,0
C-078,C,Kommunikation,Maschinenbau,600,nicht teilgenommen,leer,ja,0,0,0,0
C-079,C,Content Marketing,Zulieferer,120,nicht teilgenommen,gespraech,ja,0,0,0,0
C-080,C,Marketing Manager,Industrieunternehmen,600,nicht teilgenommen,leer,ja,0,0,0,0
C-081,C,Marketing Manager,Industrieunternehmen,250,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-082,C,Marketing Operations,Maschinenbau,600,nicht teilgenommen,leer,ja,0,0,0,0
C-083,C,Marketing,Industrieunternehmen,180,nicht teilgenommen,leer,ja,0,0,0,0
C-084,C,Marketing,B2B-Dienstleister,800,nicht teilgenommen,leer,ja,0,0,0,0
C-085,C,Marketing Operations,Industrieunternehmen,120,nicht teilgenommen,frage,ja,0,0,0,0
C-086,C,Marketingleitung,B2B-Dienstleister,450,nicht teilgenommen,leer,ja,0,0,0,0
C-087,C,Marketing Operations,B2B-Software,120,nicht teilgenommen,leer,ja,0,0,0,0
C-088,C,Marketing Operations,Zulieferer,600,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-089,C,Marketing Operations,Zulieferer,80,nicht teilgenommen,leer,ja,0,0,0,0
C-090,C,Digital Marketing,Zulieferer,120,nicht teilgenommen,leer,ja,0,0,0,0
C-091,C,Marketing Manager,B2B-Dienstleister,180,nicht teilgenommen,leer,ja,0,0,0,0
C-092,C,Digital Marketing,Logistik,400,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-093,C,Content Marketing,Industrieunternehmen,120,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-094,C,Content Marketing,Zulieferer,200,nicht teilgenommen,leer,ja,0,0,0,0
C-095,C,Marketing Operations,Industrieunternehmen,80,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-096,C,Marketingleitung,Logistik,80,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-097,C,Digital Marketing,Maschinenbau,500,nicht teilgenommen,leer,ja,0,0,0,0
C-098,C,Marketing Operations,Maschinenbau,450,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-099,C,Digital Marketing,Zulieferer,120,nicht teilgenommen,leer,ja,0,0,0,0
C-100,C,Marketingleitung,Technischer Handel,800,nicht teilgenommen,leer,ja,0,0,0,0
C-101,C,Content Marketing,B2B-Dienstleister,800,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-102,C,Kommunikation,Technischer Handel,450,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-103,C,Kommunikation,B2B-Software,400,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-104,C,Produktmarketing,Logistik,250,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-105,C,Kommunikation,B2B-Dienstleister,200,nicht teilgenommen,nachlesen,ja,0,0,0,0
C-106,C,Marketingleitung,Logistik,300,nicht teilgenommen,leer,ja,0,0,0,0
C-107,C,Kommunikation,Zulieferer,300,nicht teilgenommen,frage,ja,0,0,0,0
C-108,C,Marketingleitung,Logistik,180,nicht teilgenommen,leer,ja,0,0,0,0
C-109,C,Marketing Operations,B2B-Software,200,nicht teilgenommen,leer,ja,0,0,0,0
C-110,C,Marketing,Maschinenbau,400,nicht teilgenommen,nachlesen,ja,0,0,0,0
